#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANAPC1	CDT1	9606.ENSP00000339109	9606.ENSP00000301019	0	0	0	0	0.074	0	0.400	0.056	0.429
ANAPC1	BUB1	9606.ENSP00000339109	9606.ENSP00000302530	0	0	0	0	0.133	0.758	0	0.452	0.875
ANAPC1	AURKB	9606.ENSP00000339109	9606.ENSP00000313950	0	0	0	0	0.063	0.083	0.500	0.162	0.592
ANAPC1	ANAPC2	9606.ENSP00000339109	9606.ENSP00000314004	0	0	0	0	0.067	0.999	0.900	0.872	0.999
ANAPC1	SMC1A	9606.ENSP00000339109	9606.ENSP00000323421	0	0	0	0	0.083	0.091	0	0.457	0.509
ANAPC1	SMC4	9606.ENSP00000339109	9606.ENSP00000341382	0	0	0	0	0.100	0.102	0	0.320	0.402
ANAPC1	WEE1	9606.ENSP00000339109	9606.ENSP00000402084	0	0	0	0	0.060	0	0	0.438	0.449
ANAPC1	CDK3	9606.ENSP00000339109	9606.ENSP00000410561	0	0	0	0	0	0.429	0	0.432	0.662
ANAPC1	CETN2	9606.ENSP00000339109	9606.ENSP00000359300	0	0	0	0	0.044	0	0	0.670	0.671
ANAPC1	MAD1L1	9606.ENSP00000339109	9606.ENSP00000385334	0	0	0	0	0.072	0	0.650	0.083	0.676
ANAPC1	PTTG1	9606.ENSP00000339109	9606.ENSP00000377536	0	0	0	0	0.072	0	0.650	0.321	0.760
ANAPC1	BABAM2	9606.ENSP00000339109	9606.ENSP00000343412	0	0	0	0	0.081	0	0.900	0	0.904
ANAPC1	BRCC3	9606.ENSP00000339109	9606.ENSP00000358474	0	0	0	0	0.054	0	0.900	0.069	0.904
ANAPC1	CDK1	9606.ENSP00000339109	9606.ENSP00000378699	0	0	0	0	0.083	0.429	0.650	0.693	0.936
ANAPC1	CCNA2	9606.ENSP00000339109	9606.ENSP00000481380	0	0	0	0	0.083	0.807	0.500	0.394	0.939
ANAPC1	BUB3	9606.ENSP00000339109	9606.ENSP00000357858	0	0	0	0	0.068	0.781	0.650	0.401	0.951
ANAPC1	NEK2	9606.ENSP00000339109	9606.ENSP00000355966	0	0	0	0	0.083	0.897	0.500	0.460	0.971
ANAPC1	UBE2C	9606.ENSP00000339109	9606.ENSP00000348838	0	0	0	0	0.063	0.818	0.900	0.283	0.986
ANAPC1	ANAPC15	9606.ENSP00000339109	9606.ENSP00000437360	0	0	0	0	0	0.927	0.900	0.350	0.994
ANAPC1	FZR1	9606.ENSP00000339109	9606.ENSP00000378529	0	0	0	0	0.049	0.988	0.800	0.430	0.998
ANAPC1	ANAPC10	9606.ENSP00000339109	9606.ENSP00000478501	0	0	0	0	0.108	0.999	0.900	0.851	0.999
ANAPC1	ANAPC7	9606.ENSP00000339109	9606.ENSP00000394394	0	0	0	0	0.221	0.981	0.900	0.746	0.999
ANAPC1	CDC26	9606.ENSP00000339109	9606.ENSP00000363322	0	0	0	0	0	0.989	0.900	0.586	0.999
ANAPC1	CDC23	9606.ENSP00000339109	9606.ENSP00000378350	0	0	0	0	0.179	0.997	0.900	0.856	0.999
ANAPC1	ANAPC16	9606.ENSP00000339109	9606.ENSP00000477760	0	0	0	0	0	0.990	0.900	0.522	0.999
ANAPC1	CDC20	9606.ENSP00000339109	9606.ENSP00000361540	0	0	0	0	0.072	0.999	0.800	0.842	0.999
ANAPC1	ANAPC4	9606.ENSP00000339109	9606.ENSP00000426654	0	0	0	0	0.118	0.999	0.900	0.923	0.999
ANAPC1	CDC16	9606.ENSP00000339109	9606.ENSP00000348554	0	0	0	0	0.212	0.997	0.900	0.937	0.999
ANAPC1	ANAPC11	9606.ENSP00000339109	9606.ENSP00000349957	0	0	0	0	0	0.966	0.900	0.773	0.999
ANAPC1	ANAPC13	9606.ENSP00000339109	9606.ENSP00000421842	0	0	0	0	0	0.984	0.900	0.423	0.999
ANAPC10	CDC6	9606.ENSP00000478501	9606.ENSP00000209728	0	0	0	0	0.049	0	0.400	0.606	0.756
ANAPC10	AURKA	9606.ENSP00000478501	9606.ENSP00000216911	0	0	0	0	0.082	0.075	0.500	0.138	0.585
ANAPC10	FBXO5	9606.ENSP00000478501	9606.ENSP00000229758	0	0	0	0	0.128	0.967	0	0.545	0.986
ANAPC10	MAD2L2	9606.ENSP00000478501	9606.ENSP00000235310	0	0	0	0	0.044	0	0.650	0.058	0.657
ANAPC10	CCNA1	9606.ENSP00000478501	9606.ENSP00000255465	0	0	0	0	0	0	0.500	0.434	0.705
ANAPC10	CCNB1	9606.ENSP00000478501	9606.ENSP00000256442	0	0	0	0	0.108	0.994	0.900	0.660	0.999
ANAPC10	ANAPC5	9606.ENSP00000478501	9606.ENSP00000261819	0	0	0	0	0.208	0.999	0.900	0.977	0.999
ANAPC10	CDK2	9606.ENSP00000478501	9606.ENSP00000266970	0	0	0	0	0.130	0.108	0.650	0.296	0.783
ANAPC10	BUB1B	9606.ENSP00000478501	9606.ENSP00000287598	0	0	0	0	0.069	0.999	0.720	0.719	0.999
ANAPC10	CCNB2	9606.ENSP00000478501	9606.ENSP00000288207	0	0	0	0	0.095	0.126	0.900	0.188	0.927
ANAPC10	MAD2L1	9606.ENSP00000478501	9606.ENSP00000296509	0	0	0	0	0.190	0.998	0.650	0.235	0.999
ANAPC10	PLK1	9606.ENSP00000478501	9606.ENSP00000300093	0	0	0	0	0.100	0	0.500	0.357	0.685
ANAPC10	CDT1	9606.ENSP00000478501	9606.ENSP00000301019	0	0	0	0	0	0	0.400	0.184	0.489
ANAPC10	BUB1	9606.ENSP00000478501	9606.ENSP00000302530	0	0	0	0	0.075	0.706	0	0.355	0.809
ANAPC10	CDC25A	9606.ENSP00000478501	9606.ENSP00000303706	0	0	0	0	0.062	0	0	0.434	0.447
ANAPC10	AURKB	9606.ENSP00000478501	9606.ENSP00000313950	0	0	0	0	0.081	0.075	0.500	0.202	0.615
ANAPC10	ANAPC2	9606.ENSP00000478501	9606.ENSP00000314004	0	0	0	0	0.076	0.999	0.900	0.808	0.999
ANAPC10	ANAPC1	9606.ENSP00000478501	9606.ENSP00000339109	0	0	0	0	0.108	0.999	0.900	0.851	0.999
ANAPC10	BABAM2	9606.ENSP00000478501	9606.ENSP00000343412	0	0	0	0	0.054	0	0.900	0	0.901
ANAPC10	CDC16	9606.ENSP00000478501	9606.ENSP00000348554	0	0	0	0	0.109	0.999	0.900	0.983	0.999
ANAPC10	UBE2C	9606.ENSP00000478501	9606.ENSP00000348838	0	0	0	0	0.064	0.823	0.900	0.631	0.993
ANAPC10	ANAPC11	9606.ENSP00000478501	9606.ENSP00000349957	0	0	0	0	0	0.997	0.900	0.997	0.999
ANAPC10	NEK2	9606.ENSP00000478501	9606.ENSP00000355966	0	0	0	0	0.056	0.800	0.500	0.553	0.952
ANAPC10	BUB3	9606.ENSP00000478501	9606.ENSP00000357858	0	0	0	0	0.111	0	0.650	0.665	0.886
ANAPC10	BRCC3	9606.ENSP00000478501	9606.ENSP00000358474	0	0	0	0	0.091	0	0.900	0	0.905
ANAPC10	CDC20	9606.ENSP00000478501	9606.ENSP00000361540	0	0	0	0	0.042	0.999	0.800	0.967	0.999
ANAPC10	CDC26	9606.ENSP00000478501	9606.ENSP00000363322	0	0	0	0	0.060	0.998	0.900	0.959	0.999
ANAPC10	BRSK2	9606.ENSP00000478501	9606.ENSP00000371614	0	0	0	0	0	0.500	0	0.052	0.505
ANAPC10	PTTG1	9606.ENSP00000478501	9606.ENSP00000377536	0	0	0	0	0.064	0	0.650	0.751	0.911
ANAPC10	CDC23	9606.ENSP00000478501	9606.ENSP00000378350	0	0	0	0	0.181	0.998	0.900	0.993	0.999
ANAPC10	FZR1	9606.ENSP00000478501	9606.ENSP00000378529	0	0	0	0	0	0.940	0.800	0.798	0.997
ANAPC10	CDK1	9606.ENSP00000478501	9606.ENSP00000378699	0	0	0	0	0.146	0.108	0.650	0.769	0.930
ANAPC10	MAD1L1	9606.ENSP00000478501	9606.ENSP00000385334	0	0	0	0	0.099	0	0.650	0.127	0.700
ANAPC10	ANAPC7	9606.ENSP00000478501	9606.ENSP00000394394	0	0	0	0	0.082	0.999	0.900	0.951	0.999
ANAPC10	CDK3	9606.ENSP00000478501	9606.ENSP00000410561	0	0	0	0	0.111	0.108	0	0.511	0.578
ANAPC10	ANAPC13	9606.ENSP00000478501	9606.ENSP00000421842	0	0	0	0	0.056	0.998	0.900	0.962	0.999
ANAPC10	ANAPC4	9606.ENSP00000478501	9606.ENSP00000426654	0	0	0	0	0.083	0.999	0.900	0.803	0.999
ANAPC10	ANAPC15	9606.ENSP00000478501	9606.ENSP00000437360	0	0	0	0	0.044	0.998	0.900	0.856	0.999
ANAPC10	ANAPC16	9606.ENSP00000478501	9606.ENSP00000477760	0	0	0	0	0.044	0.998	0.900	0.865	0.999
ANAPC10	CCNA2	9606.ENSP00000478501	9606.ENSP00000481380	0	0	0	0	0.062	0.900	0.500	0.486	0.972
ANAPC11	CDC6	9606.ENSP00000349957	9606.ENSP00000209728	0	0	0	0	0.049	0	0.400	0.437	0.650
ANAPC11	AURKA	9606.ENSP00000349957	9606.ENSP00000216911	0	0	0	0	0.088	0	0.500	0.160	0.583
ANAPC11	FBXO5	9606.ENSP00000349957	9606.ENSP00000229758	0	0	0	0	0.042	0.292	0	0.580	0.690
ANAPC11	CCNA1	9606.ENSP00000349957	9606.ENSP00000255465	0	0	0	0	0.075	0	0.500	0.297	0.646
ANAPC11	CCNB1	9606.ENSP00000349957	9606.ENSP00000256442	0	0	0	0	0.091	0.292	0.500	0.444	0.797
ANAPC11	ANAPC5	9606.ENSP00000349957	9606.ENSP00000261819	0	0	0	0	0.056	0.966	0.900	0.979	0.999
ANAPC11	CDK2	9606.ENSP00000349957	9606.ENSP00000266970	0	0	0	0	0	0	0.500	0.270	0.619
ANAPC11	BUB1B	9606.ENSP00000349957	9606.ENSP00000287598	0	0	0	0	0	0.746	0.720	0.537	0.964
ANAPC11	MAD2L1	9606.ENSP00000349957	9606.ENSP00000296509	0	0	0	0	0.135	0	0.500	0.296	0.669
ANAPC11	PLK1	9606.ENSP00000349957	9606.ENSP00000300093	0	0	0	0	0	0.098	0.500	0.294	0.653
ANAPC11	CDT1	9606.ENSP00000349957	9606.ENSP00000301019	0	0	0	0	0.101	0	0.400	0.252	0.562
ANAPC11	BUB1	9606.ENSP00000349957	9606.ENSP00000302530	0	0	0	0	0.042	0.746	0	0.344	0.826
ANAPC11	AURKB	9606.ENSP00000349957	9606.ENSP00000313950	0	0	0	0	0.091	0	0.500	0.222	0.615
ANAPC11	ANAPC2	9606.ENSP00000349957	9606.ENSP00000314004	0	0	0	0	0	0.998	0.900	0.910	0.999
ANAPC11	ANAPC1	9606.ENSP00000349957	9606.ENSP00000339109	0	0	0	0	0	0.966	0.900	0.773	0.999
ANAPC11	BABAM2	9606.ENSP00000349957	9606.ENSP00000343412	0	0	0	0	0	0	0.900	0	0.900
ANAPC11	UBE2I	9606.ENSP00000349957	9606.ENSP00000348056	0	0	0	0	0.074	0.288	0	0.191	0.420
ANAPC11	CDC16	9606.ENSP00000349957	9606.ENSP00000348554	0	0	0	0	0	0.991	0.900	0.920	0.999
ANAPC11	UBE2C	9606.ENSP00000349957	9606.ENSP00000348838	0	0	0	0	0.125	0.996	0.900	0.795	0.999
ANAPC11	BIRC6	9606.ENSP00000349957	9606.ENSP00000393596	0	0	0	0	0.067	0.474	0	0.090	0.514
ANAPC11	CDK1	9606.ENSP00000349957	9606.ENSP00000378699	0	0	0	0	0.047	0	0.500	0.306	0.640
ANAPC11	NEK2	9606.ENSP00000349957	9606.ENSP00000355966	0	0	0	0	0.042	0	0.500	0.367	0.670
ANAPC11	CCNA2	9606.ENSP00000349957	9606.ENSP00000481380	0	0	0	0	0.075	0.292	0.500	0.353	0.760
ANAPC11	BUB3	9606.ENSP00000349957	9606.ENSP00000357858	0	0	0	0	0.060	0	0.500	0.644	0.818
ANAPC11	BRCC3	9606.ENSP00000349957	9606.ENSP00000358474	0	0	0	0	0	0.053	0.900	0.108	0.908
ANAPC11	PTTG1	9606.ENSP00000349957	9606.ENSP00000377536	0	0	0	0	0.072	0.625	0.500	0.595	0.920
ANAPC11	FZR1	9606.ENSP00000349957	9606.ENSP00000378529	0	0	0	0	0.060	0.641	0.540	0.715	0.949
ANAPC11	ANAPC7	9606.ENSP00000349957	9606.ENSP00000394394	0	0	0	0	0	0.507	0.900	0.731	0.985
ANAPC11	ANAPC15	9606.ENSP00000349957	9606.ENSP00000437360	0	0	0	0	0.060	0.507	0.900	0.834	0.991
ANAPC11	ANAPC16	9606.ENSP00000349957	9606.ENSP00000477760	0	0	0	0	0.049	0.507	0.900	0.842	0.991
ANAPC11	ANAPC13	9606.ENSP00000349957	9606.ENSP00000421842	0	0	0	0	0.060	0.507	0.900	0.877	0.993
ANAPC11	CDC26	9606.ENSP00000349957	9606.ENSP00000363322	0	0	0	0	0.099	0.507	0.900	0.923	0.996
ANAPC11	ANAPC4	9606.ENSP00000349957	9606.ENSP00000426654	0	0	0	0	0.047	0.998	0.900	0.797	0.999
ANAPC11	CDC20	9606.ENSP00000349957	9606.ENSP00000361540	0	0	0	0	0.120	0.851	0.540	0.989	0.999
ANAPC11	ANAPC10	9606.ENSP00000349957	9606.ENSP00000478501	0	0	0	0	0	0.997	0.900	0.997	0.999
ANAPC11	CDC23	9606.ENSP00000349957	9606.ENSP00000378350	0	0	0	0	0	0.973	0.900	0.979	0.999
ANAPC13	FBXO5	9606.ENSP00000421842	9606.ENSP00000229758	0	0	0	0	0	0.955	0	0.400	0.971
ANAPC13	MAD2L2	9606.ENSP00000421842	9606.ENSP00000235310	0	0	0	0	0.049	0	0.650	0	0.652
ANAPC13	CCNB1	9606.ENSP00000421842	9606.ENSP00000256442	0	0	0	0	0	0	0.900	0.181	0.914
ANAPC13	ANAPC5	9606.ENSP00000421842	9606.ENSP00000261819	0	0	0	0	0.043	0.987	0.900	0.854	0.999
ANAPC13	CDK2	9606.ENSP00000421842	9606.ENSP00000266970	0	0	0	0	0.042	0	0.650	0.468	0.806
ANAPC13	BUB1B	9606.ENSP00000421842	9606.ENSP00000287598	0	0	0	0	0	0.818	0.720	0.269	0.959
ANAPC13	CCNB2	9606.ENSP00000421842	9606.ENSP00000288207	0	0	0	0	0	0	0.900	0	0.900
ANAPC13	MAD2L1	9606.ENSP00000421842	9606.ENSP00000296509	0	0	0	0	0.049	0.800	0.650	0.108	0.932
ANAPC13	ANAPC2	9606.ENSP00000421842	9606.ENSP00000314004	0	0	0	0	0	0.981	0.900	0.410	0.998
ANAPC13	CEP63	9606.ENSP00000421842	9606.ENSP00000336524	0	0	0	0	0.113	0.317	0	0.396	0.602
ANAPC13	ANAPC1	9606.ENSP00000421842	9606.ENSP00000339109	0	0	0	0	0	0.984	0.900	0.423	0.999
ANAPC13	BABAM2	9606.ENSP00000421842	9606.ENSP00000343412	0	0	0	0	0.044	0	0.900	0	0.900
ANAPC13	CDC16	9606.ENSP00000421842	9606.ENSP00000348554	0	0	0	0	0.047	0.989	0.900	0.843	0.999
ANAPC13	UBE2C	9606.ENSP00000421842	9606.ENSP00000348838	0	0	0	0	0	0.819	0.900	0.387	0.987
ANAPC13	ANAPC11	9606.ENSP00000421842	9606.ENSP00000349957	0	0	0	0	0.060	0.507	0.900	0.877	0.993
ANAPC13	NEK2	9606.ENSP00000421842	9606.ENSP00000355966	0	0	0	0	0	0.800	0	0.190	0.831
ANAPC13	BUB3	9606.ENSP00000421842	9606.ENSP00000357858	0	0	0	0	0.060	0	0.650	0.357	0.770
ANAPC13	BRCC3	9606.ENSP00000421842	9606.ENSP00000358474	0	0	0	0	0.062	0	0.900	0	0.902
ANAPC13	CDC20	9606.ENSP00000421842	9606.ENSP00000361540	0	0	0	0	0	0.954	0.800	0.670	0.996
ANAPC13	CDC26	9606.ENSP00000421842	9606.ENSP00000363322	0	0	0	0	0.139	0.977	0.900	0.965	0.999
ANAPC13	PTTG1	9606.ENSP00000421842	9606.ENSP00000377536	0	0	0	0	0	0	0.650	0.398	0.780
ANAPC13	CDC23	9606.ENSP00000421842	9606.ENSP00000378350	0	0	0	0	0.095	0.991	0.900	0.924	0.999
ANAPC13	FZR1	9606.ENSP00000421842	9606.ENSP00000378529	0	0	0	0	0	0.977	0.800	0.451	0.997
ANAPC13	CDK1	9606.ENSP00000421842	9606.ENSP00000378699	0	0	0	0	0.042	0	0.650	0.167	0.696
ANAPC13	MAD1L1	9606.ENSP00000421842	9606.ENSP00000385334	0	0	0	0	0	0	0.650	0	0.650
ANAPC13	ANAPC7	9606.ENSP00000421842	9606.ENSP00000394394	0	0	0	0	0.049	0.975	0.900	0.333	0.998
ANAPC13	CCNA2	9606.ENSP00000421842	9606.ENSP00000481380	0	0	0	0	0	0.800	0	0.176	0.828
ANAPC13	ANAPC15	9606.ENSP00000421842	9606.ENSP00000437360	0	0	0	0	0.049	0.929	0.900	0.867	0.998
ANAPC13	ANAPC4	9606.ENSP00000421842	9606.ENSP00000426654	0	0	0	0	0.049	0.984	0.900	0.456	0.999
ANAPC13	ANAPC16	9606.ENSP00000421842	9606.ENSP00000477760	0	0	0	0	0.136	0.975	0.900	0.944	0.999
ANAPC13	ANAPC10	9606.ENSP00000421842	9606.ENSP00000478501	0	0	0	0	0.056	0.998	0.900	0.962	0.999
ANAPC15	CDC6	9606.ENSP00000437360	9606.ENSP00000209728	0	0	0	0	0.053	0	0.400	0.185	0.496
ANAPC15	AURKA	9606.ENSP00000437360	9606.ENSP00000216911	0	0	0	0	0.057	0	0.500	0.084	0.530
ANAPC15	FBXO5	9606.ENSP00000437360	9606.ENSP00000229758	0	0	0	0	0.048	0.922	0	0.417	0.952
ANAPC15	CCNA1	9606.ENSP00000437360	9606.ENSP00000255465	0	0	0	0	0	0	0.500	0.229	0.598
ANAPC15	CCNB1	9606.ENSP00000437360	9606.ENSP00000256442	0	0	0	0	0.062	0	0.500	0.250	0.617
ANAPC15	ANAPC5	9606.ENSP00000437360	9606.ENSP00000261819	0	0	0	0	0.139	0.965	0.900	0.975	0.999
ANAPC15	CDK2	9606.ENSP00000437360	9606.ENSP00000266970	0	0	0	0	0.049	0	0.500	0.109	0.539
ANAPC15	BUB1B	9606.ENSP00000437360	9606.ENSP00000287598	0	0	0	0	0.056	0.837	0.720	0.559	0.978
ANAPC15	MAD2L1	9606.ENSP00000437360	9606.ENSP00000296509	0	0	0	0	0.072	0.800	0.500	0.100	0.905
ANAPC15	PLK1	9606.ENSP00000437360	9606.ENSP00000300093	0	0	0	0	0.083	0	0.500	0.189	0.595
ANAPC15	CDT1	9606.ENSP00000437360	9606.ENSP00000301019	0	0	0	0	0.053	0	0.400	0.060	0.419
ANAPC15	AURKB	9606.ENSP00000437360	9606.ENSP00000313950	0	0	0	0	0.075	0	0.500	0.227	0.611
ANAPC15	ANAPC2	9606.ENSP00000437360	9606.ENSP00000314004	0	0	0	0	0.056	0.976	0.900	0.262	0.998
ANAPC15	ANAPC1	9606.ENSP00000437360	9606.ENSP00000339109	0	0	0	0	0	0.927	0.900	0.350	0.994
ANAPC15	BABAM2	9606.ENSP00000437360	9606.ENSP00000343412	0	0	0	0	0.049	0	0.900	0	0.900
ANAPC15	CDC16	9606.ENSP00000437360	9606.ENSP00000348554	0	0	0	0	0	0.963	0.900	0.741	0.998
ANAPC15	UBE2C	9606.ENSP00000437360	9606.ENSP00000348838	0	0	0	0	0.072	0.819	0.900	0.615	0.992
ANAPC15	ANAPC11	9606.ENSP00000437360	9606.ENSP00000349957	0	0	0	0	0.060	0.507	0.900	0.834	0.991
ANAPC15	NEK2	9606.ENSP00000437360	9606.ENSP00000355966	0	0	0	0	0.044	0.896	0.500	0.329	0.962
ANAPC15	BUB3	9606.ENSP00000437360	9606.ENSP00000357858	0	0	0	0	0.092	0	0.500	0.622	0.813
ANAPC15	BRCC3	9606.ENSP00000437360	9606.ENSP00000358474	0	0	0	0	0.049	0	0.900	0.070	0.903
ANAPC15	CDC20	9606.ENSP00000437360	9606.ENSP00000361540	0	0	0	0	0.063	0.891	0.540	0.744	0.986
ANAPC15	CDC26	9606.ENSP00000437360	9606.ENSP00000363322	0	0	0	0	0.049	0.947	0.900	0.852	0.999
ANAPC15	PTTG1	9606.ENSP00000437360	9606.ENSP00000377536	0	0	0	0	0.067	0	0.500	0.507	0.749
ANAPC15	CDC23	9606.ENSP00000437360	9606.ENSP00000378350	0	0	0	0	0.049	0.965	0.900	0.878	0.999
ANAPC15	FZR1	9606.ENSP00000437360	9606.ENSP00000378529	0	0	0	0	0	0.912	0.540	0.454	0.976
ANAPC15	CDK1	9606.ENSP00000437360	9606.ENSP00000378699	0	0	0	0	0.067	0	0.500	0.205	0.596
ANAPC15	ANAPC7	9606.ENSP00000437360	9606.ENSP00000394394	0	0	0	0	0.085	0.927	0.900	0.248	0.994
ANAPC15	ANAPC13	9606.ENSP00000437360	9606.ENSP00000421842	0	0	0	0	0.049	0.929	0.900	0.867	0.998
ANAPC15	ANAPC4	9606.ENSP00000437360	9606.ENSP00000426654	0	0	0	0	0.049	0.999	0.900	0.370	0.999
ANAPC15	CCNA2	9606.ENSP00000437360	9606.ENSP00000481380	0	0	0	0	0.065	0.800	0.500	0.261	0.921
ANAPC15	ANAPC10	9606.ENSP00000437360	9606.ENSP00000478501	0	0	0	0	0.044	0.998	0.900	0.856	0.999
ANAPC15	ANAPC16	9606.ENSP00000437360	9606.ENSP00000477760	0	0	0	0	0.074	0.920	0.900	0.909	0.999
ANAPC16	CDC6	9606.ENSP00000477760	9606.ENSP00000209728	0	0	0	0	0	0	0.400	0.203	0.501
ANAPC16	AURKA	9606.ENSP00000477760	9606.ENSP00000216911	0	0	0	0	0	0	0.500	0.078	0.519
ANAPC16	FBXO5	9606.ENSP00000477760	9606.ENSP00000229758	0	0	0	0	0	0.951	0	0.399	0.969
ANAPC16	CCNA1	9606.ENSP00000477760	9606.ENSP00000255465	0	0	0	0	0	0	0.500	0.205	0.585
ANAPC16	CCNB1	9606.ENSP00000477760	9606.ENSP00000256442	0	0	0	0	0	0	0.500	0.498	0.738
ANAPC16	ANAPC5	9606.ENSP00000477760	9606.ENSP00000261819	0	0	0	0	0.159	0.975	0.900	0.849	0.999
ANAPC16	CDK2	9606.ENSP00000477760	9606.ENSP00000266970	0	0	0	0	0	0	0.500	0.147	0.555
ANAPC16	BUB1B	9606.ENSP00000477760	9606.ENSP00000287598	0	0	0	0	0	0.965	0.720	0.307	0.992
ANAPC16	MAD2L1	9606.ENSP00000477760	9606.ENSP00000296509	0	0	0	0	0	0.822	0.500	0	0.907
ANAPC16	PLK1	9606.ENSP00000477760	9606.ENSP00000300093	0	0	0	0	0	0	0.500	0.177	0.570
ANAPC16	CDT1	9606.ENSP00000477760	9606.ENSP00000301019	0	0	0	0	0	0	0.400	0.081	0.425
ANAPC16	AURKB	9606.ENSP00000477760	9606.ENSP00000313950	0	0	0	0	0	0	0.500	0.091	0.526
ANAPC16	ANAPC2	9606.ENSP00000477760	9606.ENSP00000314004	0	0	0	0	0	0.977	0.900	0.271	0.998
ANAPC16	ANAPC1	9606.ENSP00000477760	9606.ENSP00000339109	0	0	0	0	0	0.990	0.900	0.522	0.999
ANAPC16	BABAM2	9606.ENSP00000477760	9606.ENSP00000343412	0	0	0	0	0.042	0	0.900	0	0.900
ANAPC16	CDC16	9606.ENSP00000477760	9606.ENSP00000348554	0	0	0	0	0.072	0.987	0.900	0.960	0.999
ANAPC16	UBE2C	9606.ENSP00000477760	9606.ENSP00000348838	0	0	0	0	0	0.819	0.900	0.368	0.987
ANAPC16	ANAPC11	9606.ENSP00000477760	9606.ENSP00000349957	0	0	0	0	0.049	0.507	0.900	0.842	0.991
ANAPC16	NEK2	9606.ENSP00000477760	9606.ENSP00000355966	0	0	0	0	0	0.896	0.500	0.257	0.958
ANAPC16	BUB3	9606.ENSP00000477760	9606.ENSP00000357858	0	0	0	0	0.073	0.339	0.500	0.373	0.782
ANAPC16	BRCC3	9606.ENSP00000477760	9606.ENSP00000358474	0	0	0	0	0.096	0	0.900	0	0.905
ANAPC16	CDC20	9606.ENSP00000477760	9606.ENSP00000361540	0	0	0	0	0	0.998	0.540	0.639	0.999
ANAPC16	CDC26	9606.ENSP00000477760	9606.ENSP00000363322	0	0	0	0	0.111	0.975	0.900	0.906	0.999
ANAPC16	PTTG1	9606.ENSP00000477760	9606.ENSP00000377536	0	0	0	0	0	0	0.500	0.375	0.674
ANAPC16	CDC23	9606.ENSP00000477760	9606.ENSP00000378350	0	0	0	0	0.044	0.978	0.900	0.805	0.999
